train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/std,train/loss,time/total_timesteps,train/explained_variance,train/value_loss,train/clip_range,time/iterations,rollout/ep_len_mean,train/clip_fraction,rollout/ep_rew_mean,time/fps,train/approx_kl,time/time_elapsed,train/learning_rate
11390,-0.029748694562294987,-15.364798614382744,0.6207420229911804,98.60157775878906,2334720,0.9165564,369.54406852722167,0.2,1140,104.46,0.428271484375,554.8916034499999,64,0.22696802,36076,0.0003
11490,-0.03279337577987462,-15.334548595547677,0.6190710067749023,163.2031707763672,2355200,0.9316311,429.1955707550049,0.2,1150,103.44,0.401416015625,556.6034373800001,65,0.15362051,36161,0.0003
11590,-0.019536663833423517,-15.255911684036255,0.6168171167373657,125.6954574584961,2375680,0.9202325,402.0585136413574,0.2,1160,101.36,0.4048828125,546.0757285500001,65,0.21553278,36242,0.0003
11690,-0.021956255685654468,-15.203539454936982,0.6156035661697388,209.35794067382812,2396160,0.9357593,375.11443095207215,0.2,1170,99.25,0.40498046875,529.51677549,65,0.21909331,36323,0.0003
11790,-0.02840720386884641,-15.161641246080398,0.6145884990692139,167.87747192382812,2416640,0.93600255,444.00537128448485,0.2,1180,102.15,0.377490234375,550.8889531399999,66,0.22124332,36405,0.0003
11890,-0.03822414479509462,-15.139817953109741,0.6138865351676941,184.50071716308594,2437120,0.9325744,356.4679723739624,0.2,1190,101.54,0.388427734375,546.3507782,66,0.15524484,36487,0.0003
11990,-0.02576902134314878,-15.101371657848357,0.6127691864967346,160.4095916748047,2457600,0.9269083,442.3629901409149,0.2,1200,101.5,0.385107421875,542.98977474,67,0.22914559,36568,0.0003
12090,-0.008346820517908781,-15.072990345954896,0.612430214881897,120.77122497558594,2478080,0.94191396,356.6998185634613,0.2,1210,101.91,0.44833984375,547.07234249,67,0.3674067,36647,0.0003
12190,-0.02718300637206994,-15.018447074294091,0.6108667850494385,139.27430725097656,2498560,0.92928475,467.2471396923065,0.2,1220,101.0,0.353173828125,542.65973329,68,0.14225784,36731,0.0003
12290,-0.02606337899924256,-14.985560694336892,0.6100587248802185,223.15757751464844,2519040,0.92609966,535.2234771251678,0.2,1230,107.87,0.353759765625,582.1059241199999,68,0.13084762,36818,0.0003
12390,-0.019708778661151883,-14.926417082548141,0.6086957454681396,153.96995544433594,2539520,0.9337319,413.5988942623138,0.2,1240,101.45,0.373583984375,543.65612321,68,0.19489557,36906,0.0003
12490,-0.01987852100719465,-14.838258001208306,0.6056798100471497,158.8214874267578,2560000,0.9365191,401.36644768714905,0.2,1250,104.22,0.39912109375,565.42557653,69,0.25442165,36994,0.0003
12590,-0.030721464491216467,-14.788284051418305,0.6039889454841614,146.8319854736328,2580480,0.89908963,530.7125206947327,0.2,1260,103.28,0.352587890625,559.93330895,69,0.1614704,37081,0.0003
12690,-0.031250435471883976,-14.771902489662171,0.6038556694984436,148.57508850097656,2600960,0.92255056,435.23364863395693,0.2,1270,92.52,0.347119140625,503.5347587400001,69,0.18988769,37171,0.0003
12790,-0.029525875305989758,-14.756764304637908,0.6039358377456665,229.5341339111328,2621440,0.9238996,438.8911984920502,0.2,1280,102.7,0.3607421875,550.47513736,70,0.19474334,37257,0.0003
12890,-0.03339618507598061,-14.70256615281105,0.60264652967453,257.3887634277344,2641920,0.8938269,749.0656978607178,0.2,1290,106.81,0.281884765625,578.22827211,70,0.07556838,37343,0.0003
12990,-0.023407292983029036,-14.661639383435249,0.6009737849235535,177.96746826171875,2662400,0.94027936,390.99786243438723,0.2,1300,101.35,0.405224609375,539.04991106,71,0.18833782,37430,0.0003
13090,-0.02369956258626189,-14.661530500650406,0.6004421710968018,175.1624755859375,2682880,0.9287204,409.1325786113739,0.2,1310,103.07,0.40126953125,551.04621953,71,0.19475952,37513,0.0003
13190,-0.018822016572812572,-14.550659933686257,0.596393346786499,95.81513214111328,2703360,0.93199027,427.8638022899628,0.2,1320,108.03,0.3794921875,583.30804393,71,0.25843862,37597,0.0003
13290,-0.033758662201580594,-14.447054094076156,0.593169093132019,143.388916015625,2723840,0.94058466,379.96577563285825,0.2,1330,105.1,0.383251953125,568.4525219100001,72,0.1963653,37681,0.0003
13390,-0.003948325646342709,-14.400971984863281,0.5927694439888,161.23419189453125,2744320,0.919154,373.8759669303894,0.2,1340,96.72,0.4791015625,521.0243889,72,0.4483127,37764,0.0003
13490,-0.03170149422221584,-14.31583776473999,0.5889955163002014,141.18824768066406,2764800,0.92960185,463.86840443611146,0.2,1350,99.16,0.36845703125,535.84606291,73,0.20230192,37848,0.0003
13590,-0.00114485414524097,-14.234232392907142,0.5874190330505371,120.99240112304688,2785280,0.93260485,393.66595406532286,0.2,1360,102.7,0.442236328125,555.5758870100001,73,0.54855835,37934,0.0003
13690,-0.02625239946646616,-14.182908317446708,0.585655927658081,147.5413360595703,2805760,0.9270763,407.85003638267517,0.2,1370,103.57,0.37958984375,555.1097632899999,73,0.21994528,38015,0.0003
13790,-0.02386212291603442,-14.109255492687225,0.5830610990524292,234.2459716796875,2826240,0.91149366,469.3741599082947,0.2,1380,104.32,0.393505859375,557.8571478900001,74,0.27118397,38096,0.0003
13890,-0.026398835124564358,-14.049700644612312,0.5811179876327515,199.08026123046875,2846720,0.9422804,393.90129528045657,0.2,1390,106.18,0.366796875,568.97955037,74,0.18247128,38180,0.0003
13990,-0.024109771120129152,-13.938700002431869,0.5772520899772644,122.73282623291016,2867200,0.946078,356.0304531574249,0.2,1400,98.94,0.38173828125,530.1274506999999,74,0.18640485,38266,0.0003
