train/n_updates,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/critic_loss,time/fps,train/ent_coef_loss,time/episodes,train/actor_loss
185845,420.63,0.0003,2143.1550308,23115,185946,0.028135288506746292,62.3420295715332,8,3.8467888832092285,1390,-258.24395751953125
191551,447.8,0.0003,2285.8620677400004,23226,191652,0.028292451053857803,81.13198852539062,8,3.707897901535034,1400,-249.88099670410156
196565,467.09,0.0003,2385.6500245099996,23325,196666,0.028513142839074135,48.01133346557617,8,-1.1908812522888184,1410,-254.7291717529297
200863,486.43,0.0003,2488.79116908,23409,200964,0.02901689149439335,61.999183654785156,8,2.859311580657959,1420,-254.6092987060547
207557,508.03,0.0003,2607.36673584,23538,207658,0.028309712186455727,63.03697967529297,8,1.587965965270996,1430,-262.42266845703125
213315,518.96,0.0003,2667.38163122,23650,213416,0.028886066749691963,56.046836853027344,9,5.829771041870117,1440,-267.2861022949219
221410,546.41,0.0003,2810.37177031,23809,221511,0.028628062456846237,57.291770935058594,9,1.9280930757522583,1450,-287.3033447265625
227508,557.45,0.0003,2867.0589451599994,23930,227609,0.028860637918114662,45.92182922363281,9,-2.6188642978668213,1460,-299.15435791015625
234826,591.64,0.0003,3046.19857275,24073,234927,0.028663072735071182,59.51289367675781,9,-1.0320597887039185,1470,-286.1889343261719
242058,613.56,0.0003,3159.623389599999,24216,242159,0.028592469170689583,53.235572814941406,9,-0.22159945964813232,1480,-294.5680847167969
248277,624.32,0.0003,3216.3014978499996,24336,248378,0.028418127447366714,59.3404541015625,10,2.6496129035949707,1490,-301.40216064453125
254740,631.89,0.0003,3251.6621184300006,24462,254841,0.027915513142943382,49.537837982177734,10,-4.620704650878906,1500,-303.9012451171875
259131,625.66,0.0003,3217.574998,24547,259232,0.02747739665210247,88.68221282958984,10,3.6528215408325195,1510,-303.87103271484375
263220,623.57,0.0003,3204.4212924699996,24626,263321,0.027458567172288895,71.14437103271484,10,0.18068575859069824,1520,-309.7873229980469
269153,615.96,0.0003,3161.6555039200007,24743,269254,0.028091231361031532,60.35981369018555,10,-1.2311517000198364,1530,-314.43255615234375
275599,622.84,0.0003,3198.80675758,24870,275700,0.027524644508957863,55.941673278808594,11,-1.3680546283721924,1540,-313.5003967285156
283474,620.64,0.0003,3189.0341573599994,25027,283575,0.027253640815615654,65.64871215820312,11,-1.142142653465271,1550,-319.19842529296875
290180,626.72,0.0003,3221.68025512,25159,290281,0.02803627774119377,72.98272705078125,11,3.3737263679504395,1560,-325.9007568359375
298896,640.7,0.0003,3289.75128647,25332,298997,0.02728147804737091,58.965171813964844,11,3.6222987174987793,1570,-307.291748046875
306068,640.1,0.0003,3287.0094998800005,25472,306169,0.026424048468470573,54.00468444824219,12,-1.85727858543396,1580,-343.60205078125
313899,656.22,0.0003,3369.0209945100005,25624,314000,0.026595862582325935,51.869895935058594,12,-1.4149796962738037,1590,-343.43695068359375
322549,678.09,0.0003,3483.45059194,25793,322650,0.02645263262093067,72.03080749511719,12,-0.6797823905944824,1600,-321.54681396484375
329084,699.53,0.0003,3593.13101394,25920,329185,0.02608468569815159,57.64965057373047,12,-4.9938507080078125,1610,-342.694091796875
336375,731.55,0.0003,3768.4078741000003,30637,336476,0.026030071079730988,51.07258605957031,10,0.14604389667510986,1620,-347.76446533203125
344126,749.73,0.0003,3862.6058309399987,30738,344227,0.02724543586373329,53.70772933959961,11,-0.518122673034668,1630,-348.27642822265625
353018,774.19,0.0003,3995.063732709999,30857,353119,0.026668794453144073,47.923519134521484,11,-1.0848276615142822,1640,-344.1148681640625
358995,755.21,0.0003,3905.60616383,30938,359096,0.026666881516575813,68.2133560180664,11,0.7444651126861572,1650,-351.72540283203125
367547,773.67,0.0003,4017.0286812400004,31052,367648,0.025046439841389656,60.71240997314453,11,1.1406668424606323,1660,-361.68048095703125
375266,763.7,0.0003,3975.069266900001,31156,375367,0.024905217811465263,56.03487014770508,12,-4.161502838134766,1670,-356.33282470703125
384287,782.19,0.0003,4083.316283039999,31279,384388,0.026242967694997787,53.66359329223633,12,-4.825399398803711,1680,-371.7189025878906
393984,800.85,0.0003,4201.33598011,31411,394085,0.024369720369577408,67.82150268554688,12,4.350174903869629,1690,-364.1583251953125
403984,814.35,0.0003,4289.30101102,31544,404085,0.023431232199072838,50.19637680053711,12,2.426298141479492,1700,-389.20794677734375
413447,843.63,0.0003,4460.01972685,31671,413548,0.023435493931174278,40.323612213134766,13,4.192156791687012,1710,-385.6641845703125
423292,869.17,0.0003,4606.12697502,31802,423393,0.02251559868454933,47.1951789855957,13,7.901834487915039,1720,-376.6781921386719
431549,874.23,0.0003,4650.628899899999,31910,431650,0.022762438282370567,41.787254333496094,13,1.6743171215057373,1730,-400.08642578125
441549,885.31,0.0003,4719.18633855,32041,441650,0.023534953594207764,47.48797607421875,13,-3.4042327404022217,1740,-407.43670654296875
450822,918.27,0.0003,4897.78090691,32162,450923,0.022325877100229263,47.094482421875,14,-5.7053937911987305,1750,-400.509521484375
460211,926.64,0.0003,4953.00180496,32286,460312,0.020659171044826508,55.100257873535156,14,5.708620071411133,1760,-401.38885498046875
469945,946.79,0.0003,5084.50080299,32416,470046,0.020440516993403435,44.47673797607422,14,-5.023638725280762,1770,-420.283203125
478742,944.55,0.0003,5086.702140240001,32535,478843,0.019762491807341576,52.178199768066406,14,3.09529972076416,1780,-403.31097412109375
487741,937.57,0.0003,5053.02859105,32655,487842,0.020681587979197502,43.323272705078125,14,0.48313766717910767,1790,-427.235107421875
