train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/episodes
0.001,83.52849197000002,3381,0.7813787460327148,72,243984,243883,-38.815399169921875,18.1,13650
0.001,83.45980837,3383,0.6251661777496338,72,244162,244061,-40.99418640136719,18.08,13660
0.001,83.45897585,3386,1.327651858329773,72,244334,244233,-38.17168045043945,18.08,13670
0.001,83.27276298000002,3388,1.0499516725540161,72,244511,244410,-37.946266174316406,18.01,13680
0.001,83.15492757000001,3391,0.9420468807220459,72,244691,244590,-40.526039123535156,17.97,13690
0.001,83.01067684,3394,0.46921828389167786,72,244870,244769,-40.26387405395508,17.92,13700
0.001,82.94431779,3396,0.8982014656066895,72,245045,244944,-41.30800247192383,17.9,13710
0.001,83.03573796,3398,1.146352767944336,72,245227,245126,-40.3009033203125,17.94,13720
0.001,83.02269571000001,3401,0.5411285161972046,72,245410,245309,-38.00470733642578,17.93,13730
0.001,82.95411899000001,3403,0.7746244668960571,72,245593,245492,-39.61905288696289,17.91,13740
0.001,82.92327834,3406,1.1356865167617798,72,245774,245673,-39.798500061035156,17.9,13750
0.001,82.98406901999999,3408,0.45375943183898926,72,245954,245853,-37.908653259277344,17.92,13760
0.001,83.17497578000001,3411,1.0198198556900024,72,246133,246032,-41.2806282043457,17.99,13770
0.001,83.34648209999999,3413,0.6826540231704712,72,246316,246215,-41.66682434082031,18.05,13780
0.001,83.25078673999998,3416,0.9092222452163696,72,246493,246392,-40.96704864501953,18.02,13790
0.001,83.31519568,3419,1.1324436664581299,72,246674,246573,-40.25074768066406,18.04,13800
0.001,83.38329459,3421,1.4184882640838623,72,246852,246751,-38.488487243652344,18.07,13810
0.001,83.47276288,3424,0.7108311653137207,72,247037,246936,-38.09228515625,18.1,13820
0.001,83.39914068,3426,1.3130724430084229,72,247218,247117,-39.120521545410156,18.08,13830
0.001,83.32054925999999,3429,0.820102334022522,72,247398,247297,-41.59027099609375,18.05,13840
0.001,83.29804035,3432,0.9729551076889038,72,247578,247477,-38.78614044189453,18.04,13850
0.001,83.31920338,3434,1.1249611377716064,72,247758,247657,-40.99031448364258,18.04,13860
0.001,83.17815065,3436,0.8565778732299805,72,247932,247831,-39.96136474609375,17.99,13870
0.001,82.94698057000001,3439,0.4564768671989441,72,248107,248006,-39.813270568847656,17.91,13880
0.001,83.09476090999999,3442,0.7478296756744385,72,248289,248188,-41.01047134399414,17.96,13890
0.001,82.94548544000001,3444,1.1143839359283447,72,248465,248364,-40.304664611816406,17.91,13900
0.001,83.06640497000001,3447,1.3954591751098633,72,248646,248545,-40.80160903930664,17.94,13910
0.001,82.94010124,3449,0.5823794603347778,72,248826,248725,-42.26445007324219,17.89,13920
0.001,82.82312115999999,3452,0.6308808326721191,72,249004,248903,-42.372283935546875,17.86,13930
0.001,83.06963279,3454,1.139513373374939,72,249193,249092,-39.35837173461914,17.95,13940
0.001,83.16577640999999,3457,0.9368926286697388,72,249376,249275,-40.27367401123047,17.98,13950
0.001,83.05753175,3459,1.1258606910705566,72,249553,249452,-41.765953063964844,17.95,13960
0.001,83.17124329,3462,0.9530301094055176,72,249731,249630,-41.14717102050781,17.99,13970
