time/time_elapsed,train/n_updates,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/actor_loss
3489,251940,72,7360,34.39,0.001,161.41133888000002,0.6995348930358887,252041,-69.77113342285156
3493,252282,72,7370,34.39,0.001,161.39715626999998,0.14511659741401672,252383,-71.97744750976562
3498,252625,72,7380,34.39,0.001,161.42786777999999,0.5001549124717712,252726,-68.20941162109375
3503,252968,72,7390,34.35,0.001,161.23658433000003,0.2899588346481323,253069,-73.91771697998047
3507,253311,72,7400,34.31,0.001,160.99558871,0.3345949649810791,253412,-69.80953979492188
3512,253654,72,7410,34.35,0.001,161.20350087,0.2153458595275879,253755,-69.64723205566406
3517,253999,72,7420,34.36,0.001,161.27846197000002,0.3079473376274109,254100,-71.49093627929688
3522,254343,72,7430,34.36,0.001,161.30079283,0.21883900463581085,254444,-70.73561096191406
3526,254686,72,7440,34.32,0.001,161.09266755000002,0.27506521344184875,254787,-71.3076171875
3531,255031,72,7450,34.34,0.001,161.11487174,0.1920558214187622,255132,-72.41600036621094
3536,255376,72,7460,34.36,0.001,161.18304640000002,0.32015639543533325,255477,-73.47404479980469
3541,255720,72,7470,34.38,0.001,161.30636291,0.16414356231689453,255821,-74.49470520019531
3545,256063,72,7480,34.38,0.001,161.25163036,0.19519691169261932,256164,-67.51353454589844
3550,256406,72,7490,34.38,0.001,161.31165140999997,0.2443467676639557,256507,-70.15896606445312
3555,256750,72,7500,34.39,0.001,161.38592125,0.12399698793888092,256851,-71.10865783691406
3560,257092,72,7510,34.38,0.001,161.39405342999999,0.21597182750701904,257193,-69.31877136230469
3564,257434,72,7520,34.35,0.001,161.17729895,0.19727104902267456,257535,-69.4277114868164
3569,257781,72,7530,34.38,0.001,161.27113289000002,0.36686035990715027,257882,-69.63719177246094
3574,258126,72,7540,34.4,0.001,161.41459203,0.13543158769607544,258227,-69.07695770263672
3578,258468,72,7550,34.37,0.001,161.29072822,0.3354317545890808,258569,-71.96798706054688
3583,258813,72,7560,34.37,0.001,161.28417911999998,0.3032533824443817,258914,-71.47929382324219
3588,259157,72,7570,34.37,0.001,161.27367988999998,0.2139350175857544,259258,-73.70611572265625
3593,259500,72,7580,34.37,0.001,161.30509083999996,0.6925654411315918,259601,-71.1661376953125
3597,259845,72,7590,34.39,0.001,161.36992686,0.19405852258205414,259946,-68.56761932373047
3602,260189,72,7600,34.39,0.001,161.39322563000002,0.2480679750442505,260290,-70.09014892578125
3607,260530,72,7610,34.38,0.001,161.34401161999997,0.20332853496074677,260631,-68.21989440917969
3612,260873,72,7620,34.39,0.001,161.44955552,0.1606549322605133,260974,-68.91537475585938
3616,261216,72,7630,34.35,0.001,161.30297975000002,0.2167653888463974,261317,-65.75288391113281
