time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,time/fps,train/n_updates,train/learning_rate
95053,1385,70.31940587999999,-36.3326301574707,6390,14.87,0.10421458631753922,68,94952,0.001
95202,1387,70.31462296000001,-35.386329650878906,6400,14.87,0.4206124544143677,68,95101,0.001
95350,1389,70.26612664999999,-35.468955993652344,6410,14.86,0.22085624933242798,68,95249,0.001
95499,1392,70.27360989,-35.022613525390625,6420,14.86,0.2157478630542755,68,95398,0.001
95649,1394,70.37437911,-36.31893539428711,6430,14.88,0.04025420919060707,68,95548,0.001
95798,1396,70.37096056,-35.55002212524414,6440,14.88,0.15770715475082397,68,95697,0.001
95945,1398,70.31891959,-34.689571380615234,6450,14.87,0.1549985557794571,68,95844,0.001
96094,1400,70.31877695,-36.44389343261719,6460,14.87,0.14643894135951996,68,95993,0.001
96241,1402,70.31483136,-34.66231918334961,6470,14.87,0.1195351779460907,68,96140,0.001
96389,1404,70.21645014,-35.71611785888672,6480,14.85,0.22952835261821747,68,96288,0.001
96536,1406,70.12345214999999,-36.48857116699219,6490,14.83,0.22020678222179413,68,96435,0.001
96686,1409,70.17246964,-36.566184997558594,6500,14.84,0.020825332030653954,68,96585,0.001
96833,1411,70.12004817999998,-34.00840759277344,6510,14.83,0.2911205291748047,68,96732,0.001
96982,1413,70.12070360000001,-36.98245620727539,6520,14.83,0.2206476777791977,68,96881,0.001
97129,1415,69.96746655,-32.960960388183594,6530,14.8,0.2306973934173584,68,97028,0.001
97277,1417,69.92647079,-33.9776725769043,6540,14.79,0.046826839447021484,68,97176,0.001
97427,1420,70.06722039,-38.255245208740234,6550,14.82,0.1458909511566162,68,97326,0.001
97576,1422,70.06824721999999,-34.757781982421875,6560,14.82,0.1644883155822754,68,97475,0.001
97725,1424,70.15974177999999,-37.48809814453125,6570,14.84,0.21298325061798096,68,97624,0.001
97874,1426,70.20352965000001,-33.62483215332031,6580,14.85,0.22241094708442688,68,97773,0.001
98023,1428,70.30279507000002,-36.38031768798828,6590,14.87,0.17710649967193604,68,97922,0.001
98172,1431,70.24726586,-36.69601821899414,6600,14.86,0.22132083773612976,68,98071,0.001
98320,1433,70.30251179,-37.48868942260742,6610,14.87,0.3355537950992584,68,98219,0.001
98470,1435,70.3472977,-36.09540939331055,6620,14.88,0.02863357961177826,68,98369,0.001
98619,1437,70.44016527,-37.648597717285156,6630,14.9,0.1656494438648224,68,98518,0.001
98768,1440,70.48392129000001,-37.19983673095703,6640,14.91,0.25559768080711365,68,98667,0.001
98916,1442,70.39747943,-35.294036865234375,6650,14.89,0.4098953902721405,68,98815,0.001
99064,1444,70.34758246999999,-33.899314880371094,6660,14.88,0.08840090781450272,68,98963,0.001
99213,1446,70.34674564,-35.798851013183594,6670,14.88,0.2211616337299347,68,99112,0.001
99362,1448,70.34125771999999,-36.999603271484375,6680,14.88,0.04859580844640732,68,99261,0.001
99511,1450,70.34609667,-36.18557357788086,6690,14.88,0.1827206015586853,68,99410,0.001
99661,1452,70.39453538000001,-35.51095199584961,6700,14.89,0.16758771240711212,68,99560,0.001
99811,1455,70.48494846,-36.564964294433594,6710,14.91,0.15615162253379822,68,99710,0.001
99960,1457,70.43408964999999,-36.02922439575195,6720,14.9,0.14834949374198914,68,99859,0.001
100110,1459,70.49514437,-37.05494689941406,6730,14.91,0.12487948685884476,68,100009,0.001
100259,1462,70.49560115,-35.695533752441406,6740,14.91,0.15121465921401978,68,100158,0.001
100408,1464,70.5334522,-36.24688720703125,6750,14.92,0.36609411239624023,68,100307,0.001
100557,1466,70.58459763,-38.352603912353516,6760,14.93,0.207744762301445,68,100456,0.001
100705,1468,70.5459322,-37.863197326660156,6770,14.92,0.02044888399541378,68,100604,0.001
100853,1470,70.50145928,-36.30961990356445,6780,14.91,0.08993381261825562,68,100752,0.001
101001,1472,70.45229787999999,-35.59282302856445,6790,14.9,0.04662331938743591,68,100900,0.001
101150,1474,70.41369115,-34.76422119140625,6800,14.89,0.2260086089372635,68,101049,0.001
101297,1477,70.27315081000002,-36.308921813964844,6810,14.86,0.5222722291946411,68,101196,0.001
101443,1479,70.13019983,-34.00297546386719,6820,14.83,0.23704172670841217,68,101342,0.001
101591,1481,70.02972437999999,-35.23542785644531,6830,14.81,0.2953149080276489,68,101490,0.001
